municipality, title, party, name
AMHERST, COUNCILMAN, 9A DEM, Francina J Spoth
AMHERST, COUNCILMAN, 9B REP, Susan D McClary
AMHERST, COUNCILMAN, 9E WOR, Hadar Borden
AMHERST, COUNCILMAN, 9F IND, Susan D McClary
AMHERST, TOWN CLERK, 10A DEM, Fanny Effie Meyer
AMHERST, TOWN CLERK, 10B REP, Marjory H Jaeger
AMHERST, TOWN JUSTICE, 11A DEM, Geoffrey K Klein
AMHERST, TOWN SUPERINTENDENT OF HIGHWAYS, 12A DEM, Kathy R Kaminski
AMHERST, TOWN SUPERINTENDENT OF HIGHWAYS, 12B REP, Patrick G Lucey Jr
AURORA, SUPERVISOR, 8B REP, James J Bach
AURORA, COUNCILMAN, 10B REP, Jeffrey T Harris
AURORA, COUNCILMAN, 9B REP, Charles D Snyder
AURORA, TOWN JUSTICE, 11A DEM, Anthony DiFilippo IV
AURORA, TOWN JUSTICE, 11E WOR, Michael S Deal
BOSTON, COUNCILMAN, 8A DEM, Gary E Vara
BOSTON, COUNCILMAN,8B REP, Jason A Keding
BOSTON, COUNCILMAN, 9B REP, Zachary AW Munger
BOSTON, TOWN CLERK, 10B REP, Jennifer A Mule
BOSTON, TOWN SUPERINTENDENT OF HIGHWAYS, 11B REP, Robert J Telaak
BRANT, COUNCILMAN, 8B REP, Chad R Kaczmarek
BRANT, COUNCILMAN, 9B REP, Donald L Clark
BRANT, COUNCILMAN, 9C CON, Janice C Ross
BRANT, COUNCILMAN, 10B REP, Michael R Muffoletto
BRANT, TOWN CLERK, 11B REP, Barbara J Daniel
BRANT, TOWN SUPERINTENDENT OF HIGHWAYS, 12B REP, Joseph N Giambrone
CHEEKTOWAGA, SUPERVISOR, 8A DEM, Diane M Benczkowski
CHEEKTOWAGA, COUNCILMAN, 10A DEM, Christine L Adamczyk
CHEEKTOWAGA, COUNCILMAN, 10B REP, Chauncey W Stewart
CHEEKTOWAGA, COUNCILMAN, 10D GRE, Steven A Specyal
CHEEKTOWAGA, COUNCILMAN, 11A DEM, Gerald P Kaminski
CHEEKTOWAGA, COUNCILMAN, 11B REP, Patrick J Delaney
CHEEKTOWAGA, COUNCILMAN, 11C CON, Stanley J Kaznowski III
CHEEKTOWAGA, COUNCILMAN, 11E WOR, Kenneth L Young
CHEEKTOWAGA, COUNCILMAN, 9A DEM, Linda M Hammer
CHEEKTOWAGA, COUNCILMAN, 9B REP, Jennifer Zalenski Blackhall
CHEEKTOWAGA, TOWN CLERK, 12A DEM, Vickie L Dankowski
CHEEKTOWAGA, TOWN CLERK,12B REP, Brian N Pilarski
CHEEKTOWAGA, TOWN JUSTICE, 13A DEM, Paul S Piotrowski
CHEEKTOWAGA, TOWN SUPERINTENDENT OF HIGHWAYS, 14A DEM, Mark D Wegner
CHEEKTOWAGA, TOWN SUPERINTENDENT OF HIGHWAYS, 14E WOR, Jerzy Galazka
CLARENCE, SUPERVISOR, 8B REP, Patrick Casilio
CLARENCE, COUNCILMAN, 10B REP, Christopher D Greene
CLARENCE, COUNCILMAN, 9B REP, Robert A Geiger
CLARENCE, TOWN CLERK, 11B REP, Nancy C Metzger
CLARENCE, TOWN JUSTICE, 12A DEM, Robert G Sillars
CLARENCE, TOWN JUSTICE, 12B REP, Robert G Sillars
CLARENCE, TOWN JUSTICE, 12D GRE, Justin D Kloss
COLDEN, COUNCILMAN, 8A DEM, Gerald F Pietraszek
COLDEN, COUNCILMAN, 9A DEM, Patricia A Zurbrick
COLDEN, TOWN CLERK, 10A DEM, Christina M Kerlin
COLLINS, SUPERVISOR, 8B REP, David F Tessmer
COLLINS, COUNCILMAN, 10B REP, Mary A Stelley
COLLINS, COUNCILMAN, 9B REP, Kenneth E Martin
CONCORD, COUNCILMAN, 8B REP, Paul F Salzler
CONCORD, COUNCILMAN, 9B REP, Kenneth D Zittel
CONCORD, TOWN JUSTICE, 10B REP, Timothy P Frank
EDEN, SUPERVISOR, 8A DEM, Glenn R Nellis
EDEN, SUPERVISOR, 8B REP, Melissa M Hartman
EDEN, COUNCILMAN, 10A DEM, Edward Krycia Jr
EDEN, COUNCILMAN, 10B REP, Michael M Byrnes
EDEN, COUNCILMAN, 9A DEM, Francis J McLaughlin
EDEN, COUNCILMAN, 9B REP, Susan F Wilhelm
EDEN, TOWN CLERK, 11A DEM, Debra M Popple
EDEN, TOWN CLERK, 11B REP, Mary Jo Hultquist
EDEN, TOWN JUSTICE, 12A DEM, Melissa L Zittel
EDEN, TOWN SUPERINTENDENT OF HIGHWAYS, 13B REP, Ronald A Maggs
EDEN, ASSESSOR, 14A DEM, Sharon A Brockman
EDEN, ASSESSOR, 14B REP, Susan D Pratt
ELMA, SUPERVISOR, 8A DEM, Yvon A Boulet
ELMA, SUPERVISOR, 8B REP, Dennis M Powers
ELMA, SUPERVISOR, 8I EU, Joanne Cannavo
ELMA, COUNCILMAN, 10B REP, James Malczewski
ELMA, COUNCILMAN, 9B REP, Michael P Nolan
ELMA, TOWN CLERK, 11B REP, Patricia A King
ELMA, TOWN JUSTICE, 12A DEM, Joseph A Sakowski
EVANS, SUPERVISOR, 8A DEM, Mary K Nytz-Hosler
EVANS, SUPERVISOR, 8B REP, Keith E Dash
EVANS, COUNCILMAN, 9A DEM, Brian M Bergum
EVANS, COUNCILMAN, 9B REP, Jeanne M Macko
EVANS, TOWN JUSTICE, 10A DEM, Anthony J Barone Jr
GRAND ISLAND, SUPERVISOR, 8A DEM, Nathan D McMurray
GRAND ISLAND, SUPERVISOR, 8B REP, Mary S Cooke
GRAND ISLAND, COUNCILMAN, 10A DEM, Cynthia R Montana
GRAND ISLAND, COUNCILMAN, 10B REP, Michael H Madigan
GRAND ISLAND, COUNCILMAN, 9A DEM, Beverly A Kinney
GRAND ISLAND, COUNCILMAN, 9B REP, Gary G Roesch
GRAND ISLAND, COUNCILMAN, 9I GI, James T Maloney
GRAND ISLAND, TOWN CLERK, 11B REP, Patricia A Frentzel
GRAND ISLAND, TOWN JUSTICE, 12A DEM, Sybil E Kennedy
GRAND ISLAND, TOWN JUSTICE, 12B REP, Mark S Nemeth
HAMBURG, COUNCILMAN, 8A DEM, Thomas M Best Jr
HAMBURG, COUNCILMAN, 8B REP, Tamara M Harbold
HAMBURG, TOWN CLERK, 9A DEM, Catherine A Rybczynski
HAMBURG, TOWN JUSTICE, 10A DEM, Walter L Rooth III
HAMBURG, TOWN JUSTICE, 10B REP, Carl W Morgan
HAMBURG, TOWN JUSTICE, 10D GRE, Frank Bogulski
HOLLAND, COUNCILMAN, 8A DEM, Gregory L Gonter
HOLLAND, COUNCILMAN, 8B REP, Karen L Kline
HOLLAND, COUNCILMAN, 9B REP, William D Kolacki
